name,address,area
Letterkenny Doctors,"Level 1 Scally Place, Justice Walsh Road, Letterkenny, Donegal, F92 DPX8",Donegal
Letterkenny Private Medical,"Roe House, Dry Arch Business Park, Letterkenny, Donegal, F92 NHT0",Donegal
Lettermacaward Health Centre,"Madavagh, Lettermacaward, Donegal, F94 RH96",Donegal
Lifford Health Centre,"Lifford Bridge, Lifford, Donegal, F93 TH24",Donegal
Medical Centre,"Main Street, Dungloe, Donegal, F94 E89A",Donegal
Milford Health Centre,"Main Street, Milford, Donegal, F92 P7YE",Donegal
Millbrae Surgery,"Stranorlar Primary Care Centre, Pound Street, Stranorlar, Donegal, F93 YKC9",Donegal
Millbrae Surgery,"Millbrae, Carndonagh, Donegal, F93 Y772",Donegal
Millrow Family Practice,"New Row, Donegal Town, Donegal, F94 KRK2",Donegal
Mountcharles Primary Care Centre,"Station Road, Mountcharles, Donegal, F94 E86H",Donegal
Moville Group Practice,"Moville Primary Care Centre, Glencrow, Moville, Donegal, F93 NF29",Donegal
Newtowncunningham Health Centre,"Main Street, Newtowncunningham, Donegal, F93 RP73",Donegal
Ramelton Health Centre,"Back Road, Ramelton, Donegal, F92 DE98",Donegal
Raphoe Medical Centre,"Meetinghouse Street, Raphoe, Donegal, F93 X681",Donegal
Rathford Medical Practice,"Milford Health Centre, Main Street, Milford, Donegal, F92 P7YE",Donegal
Rathmullan Health Centre,"Pier Road, Rathmullan, Donegal, F92 PC43",Donegal
Scally McDaid Medical Practice,"Level 1, Dr Scally Place, Letterkenny, Donegal, F92 DPX8",Donegal
Stranorlar Primary Care Centre,"Pound Street, Stranorlar, Donegal, F93 D9HH",Donegal
Tamney Dispensary,"Tamney, Donegal, F92 H261",Donegal
The Grove Medical Practice,"Ardeskin, Donegal, F94 NW8C",Donegal
Agarwal Wellness and Medical Centre,"2 Church View, Lower Main Street, Lucan, Dublin, K78 Y5N9",Dublin 1
Amaranta Family Practice,"30 Ardagh Grove, Blackrock, Dublin, A94 W3Y0",Dublin 1
Applewood Medical Centre,"Applewood Village, Swords, Dublin, K67 V2Y0",Dublin 1
Balbriggan Medical Centre,"Fingal House, Drogheda Street, Balbriggan, Dublin, K32 ED88",Dublin 1
Ballybrack Medical Centre,"4a Church Road, Ballybrack, Glenageary, Dublin, A96 CT85",Dublin 1
Ballyowen Lane Medical Centric Health,"Ballyowen Castle Centre, Ballyowen Lane, Lucan, Dublin, K78 X6V9",Dublin 1
Ballyowen Lane Medical Centric Health,"Ballyowen Castle Centre, Ballyowen Lane, Lucan Dublin, Dublin, K78 X6V9",Dublin 1
Bayview Medical,"5 Killiney Shopping Centre, Rochestown Avenue, Dun Laoghaire, Dublin, A96 XA78",Dublin 1
Beechlawn Medical Centre,"Carrickbrennan Road, Monkstown, Dublin, A94 NX03",Dublin 1
Belgrave Clinic,"3 Charleston Road, Dublin 6, Dublin, D06 V6T3",Dublin 1
Blackrock Family Practice,"41 Main Street, Blackrock, Dublin, A94 D5P2",Dublin 1
Blackrock Medical Centre,"Frascati Shopping Centre, Blackrock, Dublin, A94 H6V9",Dublin 1
Blackrock Medical Clinic,"34 Main Street, Blackrock, Dublin, A94 T6H3",Dublin 1
Blackrock Medical Practice,"62 Newtownpark Avenue, Blackrock, Dublin, A94 DH59",Dublin 1
Bracken Family Practice,"66 Dublin Street, Balbriggan, Dublin, K32 HC94",Dublin 1
Carysfort Clinic,"11 Proby Square, Blackrock, Dublin, A94 AD91",Dublin 1
Castle Medical Centre,"9 Bridge Street, Swords, Dublin, K67 KX63",Dublin 1
Centric Health - Boroimhe Medical Centre,"Boroimhe Shopping Centre, Boroimhe, Swords, Dublin, K67 E9K0",Dublin 1
Centric Health City West Medical,"Citywest Shopping Centre, Fortunes Walk, Saggart, Dublin, D24 K0YT",Dublin 1
Chapel Hill Medical Centre,"Chapel Hill, Lucan, Dublin, K78 A9N9",Dublin 1
Dalkey Medical Practice,"4a Saint Patrick's Road, Dalkey, Dublin, A96 T2P0",Dublin 1
Deansgrange Medical Centre,"Unit 3 2 Clonkeen Road, Deansgrange, Blackrock, Dublin, A94 A4E4",Dublin 1
Deansgrange Medical Practice,"67 Clonkeen Road, Deansgrange, Blackrock, Dublin, A94 YC52",Dublin 1
DF Medical Centre,"Ardfield House, Lower Main Street, Lucan, Dublin, K78 V8W6",Dublin 1
Dodsboro Clinic,"Woodview Court, Tandys Lane, Lucan, Dublin, K78 Y4C9",Dublin 1
Doherty Medical Practice,"41 Sallynoggin Road, Sallynoggin, Dublin, A96 R2T8",Dublin 1
Donabate Clinic,"Warrington Mews, Main Street, Donabate, Dublin, K36 DH34",Dublin 1
Donabate Medical Centre,"Unit 4, Portrane Road, Donabate, Dublin, K36 XV57",Dublin 1
Dr Cathal O'Sullivan,"37 Seapoint Avenue, Blackrock, Dublin, A94 X3T8",Dublin 1
Dr Davina Healy,"Anchorage, 7 Castle Close, Sandycove, Dublin, A96 HW56",Dublin 1
Dr Fergus Murray,"The Square, Lower Main Street, Rush, Dublin, K56 R274",Dublin 1
Dr Joseph P Cranley,"5/6 Main Street, Howth, Dublin, D13 P2C1",Dublin 1
Dr Panos Harris,"84a Hillcrest Park, Hillcrest, Lucan, Dublin, K78 CD58",Dublin 1
Dr Patrick Feeney Surgery,"96 Lower Kilmacud Road, Stillorgan, Dublin, A94 X5X5",Dublin 1
Dr Peter Staunton,"37 Woodlands Park, Stillorgan, Dublin, A94 KX81",Dublin 1
Dr Richard Fitzpatrick,"Burmet, 196 Glenageary Road Upper, Glenageary, Dublin, A96 FE09",Dublin 1
Dr Samir Ekky,"49 Esker Lawns, Lucan, Dublin, K78 A5R2",Dublin 1
Dr W Fraser,"Benedin, Windgate Rise, Howth, Dublin, D13 YV00",Dublin 1
Dr. Marian Mcwade,"Avoca Cottage, 12 Avoca Avenue, Blackrock, Dublin, A94 EV56",Dublin 1
Dr. Patrick Coughlan,"87a Booterstown Avenue, Booterstown, Blackrock, Dublin, A94 RR71",Dublin 1
Drs Gallagher and Byrne Family Practice,"31 The Rise, Mount Merrion, Blackrock, Dublin, A94 E0C1",Dublin 1
Dun Laoghaire Surgery,"1 Glenageary Road Lower, Glenageary, Dublin, A96 V078",Dublin 1
Elton Dental and Medical Centre,"30 Sandycove Road, Dun Laoghaire, Dublin, A96 V9P1",Dublin 1
Fingal Clinic,"Station Road, Lusk, Dublin, K45 DC85",Dublin 1
Finnstown Medical Centre,"Finnstown Shopping Centre, Newcastle Road, Lucan, Dublin, K78 E8X7",Dublin 1
Forest Medical Practice,"108 Forrest Fields Road, Swords, Dublin, K67 D802",Dublin 1
Generation Health Medical Clinic,"1st Floor South Building, 16a Monkstown Crescent, Monkstown, Dublin, A94 Y8X0",Dublin 1
Gleneagle Medical Centre,"32a Greygates, Stillorgan Road, Blackrock, Dublin, A94 D368",Dublin 1
GP HomeCare (Lucan Family Doctor),"9 Oldbridge Walk, Lucan, Dublin, K78 HC94",Dublin 1
Grange Mount Surgery,"Grangemount, Ring Commons, Dublin, K32 WK07",Dublin 1
Hamlet Lane Medical Centre,"Castle Mill Shopping Centre, Hamlet Lane, Balbriggan, Dublin, K32 PP59",Dublin 1
Harbour Health,"1-2 Lower Glenageary Road, Dun Laoghaire, Dublin, A96 AE76",Dublin 1
Henry Medical,"63 Clontarf Road, Dublin 3, Dublin, D03 R8P9",Dublin 1
HSE - Community Medical Doctors,"Tivoli Road, Dun Laoghaire, Dublin, A96 DK64",Dublin 1
Johnstown Medical Centre,"107a Johnstown Road, Cabinteely, Glenageary, Dublin, A96 W248",Dublin 1
Kilmacud Medical Centre,"26 Lower Kilmacud Road, Stillorgan, Dublin, A94 KD78",Dublin 1
Kingsford Medical Centre,"Unit 6Kingsford Cross, Strand Road, Portmarnock Dublin, Dublin, D13 NW18",Dublin 1
Kinsealy Medical Centre,"20 The Rise, Melrose Park, Kinsealy, Dublin, K67 F683",Dublin 1
Lambay Family Practice,"Mary's Cottage, 7 Upper Main Street, Rush, Dublin, K56 NR02",Dublin 1
Lifetime Family Practice,"Ridge House, Shanganagh Road, Glenageary, Dublin, A96 N8W7",Dublin 1
Malahide Family Practice,"15 Strand Street, Malahide, Dublin, K36 A625",Dublin 1
Malahide Medical Centre,"Kilronan House, Church Road, Malahide, Dublin, K36 RW18",Dublin 1
Manor Hall Medical Centre,"Manor Mall Shopping Centre, Brackenstown Road, Swords, Dublin, K67 K6W7",Dublin 1
Monkstown Surgery,"25 Oliver Plunkett Road, Dun Laoghaire, Dublin, A96 V8K1",Dublin 1
Mount Merrion Medical Centre,"1st Floor 71 Deerpark Road, Mount Merrion, Blackrock, Dublin, A94 D087",Dublin 1
Mount Merrion Medical Clinic,"71 Deerpark Road, Mount Merrion, Blackrock, Dublin, A94 D087",Dublin 1
MyMedical - Cherrywood,"Cherrywood Business Park, Bray Road, Loughlinstown, Dublin, D18 T8Y6",Dublin 1
Portmarnock Family Practice,"Portmarnock Arcade, Strand Road, Portmarnock, Dublin, D13 E1W6",Dublin 1
Portmarnock GP Clinic,"1 The Dunes, Portmarnock, Dublin, D13 T2T6",Dublin 1
Primacare - Lusk,"Station Road, Lusk, Dublin, K45 PX83",Dublin 1
Primehealth Medical Centre,"91 Main Street, Swords, Dublin, K67 F6P8",Dublin 1
Railway Avenue Medical Practice,"1 Railway Avenue, Malahide, Dublin, K36 F899",Dublin 1
Rath Mhuire Health Centre,"9 Malahide Road, Swords, Dublin, K67 V8N3",Dublin 1
Rathcoole Medical Centre,"Main Street, Rathcoole, Dublin, D24 Y53K",Dublin 1
Ridgewood Medical Centre,"Ridgewood Grove, Ridgewood, Swords, Dublin, K67 R7F9",Dublin 1
Rockcourt Medical Centre,"The Courtyard, 40 Main Street, Blackrock, Dublin, A94 Y1R7",Dublin 1
Rush Family Practice,"6a Lower Main Street, Rush, Dublin, K56 NC80",Dublin 1
RushGP.ie,"44 Upper Main Street, Rush, Dublin, K56 NV61",Dublin 1
Saggart Medical Centre,"Garters Lane, Saggart, Dublin, D24 AK65",Dublin 1
Salus Medical Clinic,"Unit 2 Albany House, Main Street, Swords, Dublin, K67 X2H5",Dublin 1
Sandycove Surgery,"1 Mount Pleasant, Sandycove Road, Sandycove, Dublin, A96 P596",Dublin 1
Seabury Medical Centre,"1 Seabury Parade, Malahide, Dublin, K36 FK13",Dublin 1
Seaholm Surgery,"10 Holmpatrick, Skerries, Dublin, K34 R942",Dublin 1
Sheehan Medical Centre,"Dun Laoghaire Industrial Estate, Pottery Road, Dun Laoghaire, Dublin, A96 A6P2",Dublin 1
Sheehan Medical Practice,"21 Summerhill Road, Dun Laoghaire, Dublin, Dublin, A96 A4P1",Dublin 1
Sheehan Medical Practice,"21 Summerhill Road, Dun Laoghaire, Dublin, A96 A4P1",Dublin 1
Slade Castle Family Practice,"Unit 6, Slade Castle Court, Saggart, Dublin, D24 NTE2",Dublin 1
Slievemore Clinic,"Old Dublin Road, Stillorgan, Dublin, A94 CH66",Dublin 1
Stillorgan Medical Centre,"22 Stillorgan Plaza, Lower Kilmacud Road, Stillorgan, Dublin, A94 TR90",Dublin 1
Swords Family Practice,"Castle Shopping Centre, Bridge Street, Swords, Dublin, K67 Y7C1",Dublin 1
Temenos Medical Centre,"Townyard House, Townyard Lane, Malahide, Dublin, K36 Y622",Dublin 1
The Medical & Laser Clinic,"Newcastle Shopping Centre, Main Street, Newcastle, Dublin, D22 T9N6",Dublin 1
The Medical Centre,"Lucan Shopping Centre, Newcastle Road, Lucan, Dublin, K78 YD79",Dublin 1
The Medical Centre,"7 Main Street, Lucan, Dublin, K78 K072",Dublin 1
The Plaza Clinic,"17 Main Street, Swords, Dublin, K67 H3K4",Dublin 1
The Surgery,"7 Strand Street, Skerries, Dublin, K34 FY51",Dublin 1
The Surgery,"76 Sandyford Village, Dublin 18, Dublin, D18 X2X8",Dublin 1
The Village Medical Centre,"The Diamond, Main Street, Malahide, Dublin, K36 XW83",Dublin 1
Tully Family Practice,"Unit 1 Bakers Point, Pottery Road , Dun Laoghaire, Dublin, A96 Y80F",Dublin 1
Virtue Medical,"G9 The Pottery, Bakers Point, Dun Laoghaire, Dublin, A96 EN23",Dublin 1
Windmill Medical Centre,"New Street, Skerries, Dublin, K34 Y658",Dublin 1
Woodbine Medical Centre,"31 Woodbine Park, Booterstown, Blackrock, Dublin, A94 HX31",Dublin 1
Yew Medical Centre,"1st floor Balbriggan Primary Care Centre, 66 Dublin Street, Balbriggan, Dublin, K32 HC94",Dublin 1
Ballyfermot Family Practice,"Ballyfermot Road, Ballyfermot, Dublin, D10 CK40",Dublin 10
Claddagh Surgery,"Ballyfermot & Palmerstown Primary Care Ctr, Ballyfermot Road, Cherry Orchard, Dublin, D10 C973",Dublin 10
Dr Eric Dilworth,"411 Ballyfermot Road, Cherry Orchard, Dublin, D10 K683",Dublin 10
Dr Mohsin Moola,"314 Ballyfermot Road, Ballyfermot, Dublin, D10 PH57",Dublin 10
Dr Naseema Moorad,"314 Ballyfermot Road, Ballyfermot, Dublin, D10 PH57",Dublin 10
Grange Cross Medical,"336 Ballyfermot Road, Ballyfermot, Dublin, D10 EE79",Dublin 10
Medi Centre,"283 Ballyfermot Road, Ballyfermot, Dublin, D10 PW57",Dublin 10
Sarsfield Medical Centre,"201 Seven Oaks, Sarsfield Road, Kilmainham, Dublin, D10 KV70",Dublin 10
Charlestown Medical Centre,"Charlestown Centre, Saint Margaret's Road, Charlestown, Dublin, D11 KXC7",Dublin 11
Clune Road Medical Centre,"23 Clune Road, Finglas, Dublin, D11 W95N",Dublin 11
Cremore Clinic,"66 Ballygall Road East, Glasnevin, Dublin, D11 RX50",Dublin 11
Dr Desmond Day,"Dr. Desmond Day, 63 Main Street, Finglas, Dublin, D11 PDR3",Dublin 11
Dr Ronan O'Ferrall,"102 Slaney Road, Dublin Industrial Estate, Cabra East, Dublin, D11 A268",Dublin 11
Finglas Family Practice,"Seamus Ennis Road, Finglas, Dublin, D11 X3DW",Dublin 11
Glasnevin Ave Medical Centre,"280 Glasnevin Avenue, Glasnevin North, Dublin, D11 HW5P",Dublin 11
Glasnevin Family Practice,"11 Finglas Road, Cabra East, Dublin, D11 PA00",Dublin 11
JPM Chambers,"167 Glasnevin Avenue, Glasnevin North, Dublin, D11 YK5N",Dublin 11
Melville Medical Clinic,"Unit 10 Meakstown Neighbourhood Centre, Melville Road, Finglas, Dublin, D11 TXP3",Dublin 11
North Road Medical Centre,"23 North Road, Finglas North, Dublin, D11 N224",Dublin 11
Village Medical Centre,"45-48 Main Street, Finglas, Dublin, D11 TCC9",Dublin 11
Willow Park Medical Centre,"72 Willow Park Crescent, Finglas, Dublin, D11 X981",Dublin 11
Armagh Road Primary Care Centre,"Armagh Road, Crumlin, Dublin, D12 YY82",Dublin 12
Crumlin Family Practice,"Unit 2, Windmill Lodge, Windmill Road, Dublin, D12 XT54",Dublin 12
Crumlin Medical Practice,"1 Errigal Road, Drimnagh, Dublin, D12 NV0A",Dublin 12
Dr Andrew Low,"6 Swanward Court, Parnell Road, Dublin, D12 A6Y2",Dublin 12
Dr Catherine King,"172 Sundrive Road, Kimmage, Dublin, D12 V2CY",Dublin 12
Dr Helen Fenton,"154 Cooley Road, Drimnagh, Dublin, D12 YR99",Dublin 12
Dr Rowan and Dr White Surgery,"Primary Care Centre, Armagh Road, Crumlin, Dublin, D12 YY82",Dublin 12
Dr. John Synnott Surgery,"144 Old County Road, Drimnagh, Dublin, D12 XFP6",Dublin 12
Drs Canwell and Spillane,"133 Saint Peter's Road, Walkinstown, Dublin, D12 XN9F",Dublin 12
Errigal Road Surgery,"112 Errigal Road, Drimnagh, Dublin, D12 T286",Dublin 12
Galtymore Medical Centre,"131 Galtymore Road, Drimnagh, Dublin, D12 HX4A",Dublin 12
Kimmage Medical Centre,"202 Kimmage Road West, Kimmage, Dublin, D12 A4VF",Dublin 12
Long Mile Medical Centre,"Long Mile Road, Walkinstown, Dublin, D12 KH34",Dublin 12
Park West Clinic,"2nd Floor Block 71, Park West Business Park, Cherry Orchard, Dublin, D12 Y4C0",Dublin 12
Parkwest Medical Centre,"The Plaza Park West Avenue, Park West Business Park, Cherry Orchard, Dublin, D12 Y4C0",Dublin 12
Perrystown Family Practice,"171 Whitehall Road, Terenure, Dublin, D12 P030",Dublin 12
Shackleton & Behan Family Doctors,"115 Cromwell's Fort Road, Walkinstown, Dublin, D12 YR27",Dublin 12
Sundrive Medical Centre,"36 Sundrive Road, Kimmage, Dublin, D12 AR22",Dublin 12
The Iveagh Medical clinic,"235 Crumlin Road, Crumlin, Dublin, D12 WR53",Dublin 12
Walkinstown Medical Centre,"133 Walkinstown Road, Walkinstown, Dublin, D12 PX7A",Dublin 12
Baldoyle Medical Clinic,"Racecourse Shopping Centre, Grange Road, Baldoyle, Dublin, D13 N6W7",Dublin 13
Bayside Family Practice,"Bayside Shopping Centre, Bayside Square East, Killbarrack, Dublin, D13 KT59",Dublin 13
Bayside Medical Centre,"Bayside Shopping Centre, Bayside Square East, Sutton, Dublin, D13 W2K1",Dublin 13
Breda Synnott,"Brookstone Road, Baldoyle, Dublin, D13 HD36",Dublin 13
Clongriffin Medical Centre,"17a Main Street, Clongriffin, Dublin, D13 N2Y4",Dublin 13
Donaghmede Medical Clinic,"Unit 40a Donaghmede Shopping Centre, Grange Road, Donaghmede, Dublin, D13 V9X6",Dublin 13
Dr Brian Walsh,"Warren House, 16 Warrenhouse Road, Dublin, D13 TR53",Dublin 13
Dr John McGuinness,"118 Dublin Road, Sutton, Dublin, D13 K2K7",Dublin 13
Grange Clinic,"Grange Road, Grange, Dublin, D13 F7H9",Dublin 13
Ibrahim Surgery,"52 Ardara Avenue, Donaghmede, Dublin, D13 RK03",Dublin 13
Sutton Clinic,"31 Howth Road, Sutton, Dublin, D13 H582",Dublin 13
Sutton Cross Medical Centre,"Sutton Centre, Sutton Cross, Dublin, D13 A6C8",Dublin 13
Sutton Surgery,"Saint Margaret's, Greenfield Road, Sutton, Dublin, D13 H9H6",Dublin 13
Aranleigh Health Centre,"1 Aranleigh Mount, Rathfarnham, Dublin, D14 K822",Dublin 14
Ballyboden Medical,"Unit 1 Ballyboden Shopping Centre, Taylor's Lan, Rathfarnham, Dublin, D16 RK74",Dublin 14
Braemor Family Practice,"119b Braemor Road, Rathfarnham, Dublin, D14 VK46",Dublin 14
Centric Health - Churchtown Medical,"96/98 Churchtown Road Upper, Churchtown, Dublin, D14 EW68",Dublin 14
Churchtown Family Practice,"111d Beaumont Avenue, Churchtown, Dublin, D14 X5R5",Dublin 14
Churchtown Medical Centre,"67 Churchtown Road Upper, Churchtown, Dublin, D14 KR83",Dublin 14
Dodder Park Medical,"4 Dodder Park Drive, Rathfarnham, Dublin, D14 VY57",Dublin 14
Dr Alex Khourie,"5 Saint Enda's Drive, Rathfarnham, Dublin, D14 T2P8",Dublin 14
Dr Bent and Kinsella,"17 Pembroke Cottages, Main Street, Dundrum, Dublin, D14 X2T7",Dublin 14
Dr Bhutta Surgery,"34 Mount Carmel Road, Churchtown, Dublin, D14 TP93",Dublin 14
Dr Cantwell and Gleeson Surgery,"5 Saint Enda's Drive, Rathfarnham, Dublin, D14 T2P8",Dublin 14
Dr Patrick Magovern,"3 Drummartin Road, Kilmacud West, Dublin, D14 K0T9",Dublin 14
Dr Paul Heslin,"3 Beaumont Avenue, Churchtown, Dublin, D14 K2N5",Dublin 14
Dundrum Family Practice,"218 Barton Road East, Dundrum, Dublin, D14 AE92",Dublin 14
Goatstown Medical Centre,"6 Drummartin Terrace, Ardilea, Dublin, D14 DY94",Dublin 14
Marian Road Medical,"50 Marian Road, Rathfarnham, Dublin, D14 R9P6",Dublin 14
Moe Family Practice,"Woodlawn, Clonskeagh Road, Clonskeagh, Dublin, D14 X5R3",Dublin 14
Priority Medical Clinic,"6 Pembroke Cottages, Main Street, Dundrum, Dublin, D14 A9W8",Dublin 14
Rosemount Family Doctors,"Rosemount Shopping Centre, Marian Road, Ballyroan, Dublin, D14 V8W8",Dublin 14
Rowan Family Practice,"123 Churchtown Road Lower, Churchtown Lower, Dublin, D14 E840",Dublin 14
Solas Medical Centre,"Unit 12 Rathfarnham Shopping Centre, Butterfield Avenue, Rathfarnham, Dublin, D14 VP03",Dublin 14
The Gables Medical Centre,"Unit 13 Nutgrove Retail Park, Nutgrove Avenue, Rathfarnham, Dublin, D14 NT35",Dublin 14
Woodlawn Medical Centre,"1 Woodlawn Terrace, Churchtown Road Upper, Churchtown, Dublin, D14 W3V5",Dublin 14
Ballinteer Health General & Family Pratice,"21 Woodpark, Ballinteer Avenue, Ballinteer, Dublin, D16 HT65",Dublin 16
Ballinteer Medical,"Unit 1, Ballinteer Business Centre, Ballinteer Avenue, Dublin, D16 X0H2",Dublin 16
Ballyboden Medical,"Unit 1 Ballyboden Shopping Centre, Taylor's Lan, Rathfarnham, Dublin, D16 RK74",Dublin 16
Bloomfield Health Services,"Stocking Lane, Rathfarnham, Dublin, D16 C6T4",Dublin 16
Centric Health - Dundrum,"Rockfield Medical Campus, Dundrum, Dublin, D16 A6K5",Dublin 16
Centric Health - Dundrum Medical,"Unit 1 Level 4, Dundrum Town Centre, Sandyford Road, Dublin, D16 XC91",Dublin 16
Centric Virtual Clinic,"Balally Primary Care Centre Rockfield Medical Campus, Overend Way , Dundrum, Dublin, D16 A6K5",Dublin 16
Dr Pamela Mangal,"Kaieteur Ville, Knocklyon Avenue, Knocklyon, Dublin, D16 VH61",Dublin 16
Dr Peter Wai Yin Hooi,"105 Broadford Hill, Ballinteer, Dublin, D16 YD29",Dublin 16
GP Practice,"Unit 19/20 Knocklyon Shopping Centre, Idrone Avenue, Knocklyon, Dublin, D16 EA36",Dublin 16
Grange Road Family Practice,"Grange Road Retail Park Unit 3b, Grange Road, Ballinteer, Dublin, D16 VN25",Dublin 16
Rathfarnham Medical Centre,"4 Glendoher Road, Ballyboden, Dublin, D16 W726",Dublin 16
Scholarstown Family Practice,"10a Templeroan Lodge, Scholarstown Road, Ballyroan, Dublin, D16 E2Y5",Dublin 16
The Family Medicine Centre,"4 Ballyroan Road, Rathfarnham, Dublin, D16 A2N6",Dublin 16
Alfa Medics,"Northside Shopping Centre, Oscar Traynor Road, Kilmore, Dublin, D17 R997",Dublin 17
Darndale Health Centre,"Darndale Belcamp Village Centre, Darndale, Dublin, D17 X050",Dublin 17
Meridian Clinic - Clarehall,"3rd Floor Clarehall Shopping Centre, Malahide Road, Northern Cross, Dublin, D17 NX38",Dublin 17
Northern Cross Medical Centre,"Unit 4 Burnell Court, Malahide Road , Priorswood, Dublin, D17 KF95",Dublin 17
Beacon Clinic,"Beacon Court, Sandyford Business Park, Sandyford, Dublin, D18 E7P4",Dublin 18
Belarmine Medical Centre,"Belarmine Plaza, Belarmine Avenue, Stepaside, Dublin, D18 W5W9",Dublin 18
Blackglen Medical,"Unit 7 Blackglen Village Centre, Sandyford, Dublin, D18 KN23",Dublin 18
Central Park Medical,"Building 8 Vantage West, Central Park, Leopardstown, Dublin, D18 K5FV",Dublin 18
Centric Health Sandyford Medical And Dental,"The Plaza, Beacon South Quarter, Sandyford, Dublin, D18 F729",Dublin 18
D18 Medical,"Unit 40B Belarmine Plaza, Belarmine Avenue, Belarmine , Dublin, D18 W5W9",Dublin 18
Foxrock Medical Centre,"1a Brighton Road, Foxrock, Dublin, D18 N8C0",Dublin 18
Glencairn Medical Centre,"Leopardstown Valley, Ballyogan Road, Ballyogan, Dublin, D18 YK54",Dublin 18
Leopardstown Primary Care Centre,"Leopardstown Valley Shopping Centre, Ballyogan Road, Ballyogan, Dublin, D18 H6W0",Dublin 18
Medixclinic,"Suite 7 The Mall, Beacon Court, Sandyford Industrial Estate, Dublin, D18 N2E2",Dublin 18
Orsmond Clinics,"13 Loughlinstown Road, Loughlinstown, Dublin, D18 VOR1",Dublin 18
Sandyford Healthcare,"21 Time Place Corrig Road, Sandyford Business Park, Sandyford, Dublin, D18 R89T",Dublin 18
Shankill Family Practice,"1 Athgoe Drive, Shankill, Dublin, D18 C596",Dublin 18
Shankill Surgery,"Shankill Primary Care Centre, Lower Road, Shankill, Dublin, D18 DW08",Dublin 18
Stepaside Medical Centre,"The Village, Enniskerry Road, Stepaside Village, Dublin, D18 TW61",Dublin 18
The Park Clinic Cabinteely,"Park Shopping Centre, Glen Drive, Cabinteely, Dublin, D18 C984",Dublin 18
VideoDoc,"Beacon Court, Sandyford Industrial Estate, Sandyford, Dublin, D18 C2D0",Dublin 18
Woodfield GP Surgery,"Shanganagh Road, Shankill, Dublin, D18 VK57",Dublin 18
Aungier Street Clinic,"14-16 Redmond's Hill, Aungier Street, Dublin, D02 RP46",Dublin 2
Clare Street Medical Centre,"26 Clare Street, Dublin, D02 VX59",Dublin 2
Clifton Court Clinic,"Clifton Court, Fitzwilliam Street Lower, Dublin, D02 V279",Dublin 2
Dame Street Medical Centre,"16 Dame Street, Woodview, Dublin, D02 TD50",Dublin 2
Dawson Medical,"Suite 1, Morrison Chambers, 32 Nassau Street, Dublin 2, Dublin, D02 PC58",Dublin 2
Dr Anvor Amod,"44 Westland Row, Dublin, D02 W274",Dublin 2
Dr Brady's Surgery,"Apartment 2, 12 Camden Street Upper, Dublin, D02 A270",Dublin 2
Dr El-Zayed Hegazy,"4 Chatham Street, Dublin, D02 R223",Dublin 2
Dr Goodwin McDonnell,"3 Ely Place Upper, Dublin, D02 XV65",Dublin 2
E&S Doctors,"31/32 Wellington Quay, Dublin, D02 KP11",Dublin 2
Fitzwilliam Medical Centre,"79 Fitzwilliam Lane, Dublin, D02 V567",Dublin 2
Grafton Medical Practice,"Grafton Buildings, 34 Grafton Street, Grafton Street, Dublin, D02 XY06",Dublin 2
Hanover Medical Centre,"Unit 5, Lazer Lane, Dublin, D02 RF77",Dublin 2
Harcourt Health,"35 Camden Street Upper, Dublin, D02 HK82",Dublin 2
Joseph Molony,"37 Castle Street, Dublin, D02 H773",Dublin 2
Lincoln Place Medical,"26 Clare Street, Dublin, D02 VX59",Dublin 2
Mercer's Medical Centre,"Stephen Street Lower, Dublin 2, Dublin, D02 P294",Dublin 2
Nassau Clinic,"Unit 17 Morrison Chambers, 32 Nassau Street, Dublin, D02 XW77",Dublin 2
Parliament Street Medical Practice,"11 Parliament Street, Dublin, D02 V277",Dublin 2
Pearse Street Primary Care Centre,"15 Mark's Lane, Dublin, D02 TD23",Dublin 2
Pearse Street Primary Care Centre,"15 Mark's Lane, Dublin, D02 TD23",Dublin 2
SmartHealth,"77 Camden Street Lower, Dublin, D02 XE80",Dublin 2
Suffolk Street Surgery,"107 Grafton Street, Dublin, D02 E425",Dublin 2
The Adelaide Clinic,"56 Adelaide Road, Dublin, D02 H337",Dublin 2
The D2 Medical Centre,"4 Fitzwilliam Square East, Dublin, D02 FE06",Dublin 2
The Gallery Medical Centre,"26 Clare Street, Dublin, D02 VX59",Dublin 2
The Temple Bar Medical Centre,"26 Wellington Quay, Dublin, D02 R221",Dublin 2
Tir na nOg Clinic,"Unit 31 Morrison Chambers, 32 Nassau Street , Dublin, D02 WE12",Dublin 2
Travel Health Clinic,"7 Dawson Street, Dublin, D02 HX22",Dublin 2
Chapelizod Medical Centre,"Belgrove Park, Chapelizod, Dublin, D20 KH70",Dublin 20
Manor Road Surgery,"31 Manor Road, Redcowfarm, Dublin, D20 AW73",Dublin 20
Medical Centre,"14 Palmerstown Park, Woodfarm, Dublin, D20 YD43",Dublin 20
Palmerstown Medical Centre,"Unit 4 Aldi Centre, Lucan Road Old, Palmerstown Lower, Dublin, D20 EK76",Dublin 20
Waterstown Medical,"Stewarts Care Limited, Mill Lane, Redcow, Dublin, D20 XT80",Dublin 20
Ashwood Surgery,"19 Ashwood Road, Clondalkin, Dublin, D22 E9K6",Dublin 22
